spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,dual_target_pass
CO-0108,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0108,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0109,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0109,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0110,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0110,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0111,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0111,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0112,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0112,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0113,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0113,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0114,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0114,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0115,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0115,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0116,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0116,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0117,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0117,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0118,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0118,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0119,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0119,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0120,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0120,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0121,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0121,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0122,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0122,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0123,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0123,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0124,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0124,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0125,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0125,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0126,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0126,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0127,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0127,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0128,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0128,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0129,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0129,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0130,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0130,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0131,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0131,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0132,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0132,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0133,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0133,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0134,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0134,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0135,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0135,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0136,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0136,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0137,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0137,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0138,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0138,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0139,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0139,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0140,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0140,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0141,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0141,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0142,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0142,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0143,beginning,,0.0,418390.79258,871309.39012,739.5000000000173,0.0,0,0,0,1,215.90988,-0.1143251521584195,0,False
CO-0143,ending,,0.0,415156.93785,860599.33713,1156.7000000000169,0.0,0,0,0,1,206.86287,-0.0671822743794452,0,False
CO-0144,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0144,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0145,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0145,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0146,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0146,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0147,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0147,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0148,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0148,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0149,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0149,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0150,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0150,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0151,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0151,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0152,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0152,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0153,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0153,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0154,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0154,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0155,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0155,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
CO-0156,beginning,,0.0,419586.80191,874064.68658,-3437.300000000001,0.0,0,0,0,1,161.91342,-0.114462475022156,0,False
CO-0156,ending,,0.0,416285.22687,863286.9132800001,-3020.000000000002,0.0,0,0,0,1,152.88672000000005,-0.0672035775970699,0,False
